ticker,start_price,end_price,percentage rise,index_ID
UK.FUTR,478.74,1447.66,202.39,UK
UK.PETS,107.73,268.79,149.5,UK
UK.JD,353.84,836.06,136.28,UK
UK.DNLM,488.81,1133.47,131.88,UK
UK.RCH,52.51,119.91,128.36,UK
UK.SPT,107.95,240.02,122.34,UK
UK.IWG,197.68,425.08,115.03,UK
UK.GAW,2799.41,5891.24,110.45,UK
UK.RNK,132.75,274.52,106.79,UK
UK.SCT,559.7,1134.39,102.68,UK
UK.AVV,1859.59,3657.25,96.67,UK
UK.POG,6.55,12.74,94.5,UK
UK.LIO,549.39,1050.59,91.23,UK
UK.LSEG,3989.64,7582.57,90.06,UK
UK.FRAS,242.3,458.6,89.27,UK
UK.FOUR,1810.65,3388.85,87.16,UK
UK.GRG,1200.56,2243.33,86.86,UK
UK.MSLH,458.7,849.97,85.3,UK
UK.CCC,935.49,1708.79,82.66,UK
UK.MAB,227.31,414.49,82.35,UK
UK.PRTC,176,320,81.82,UK
UK.KNOS,402.53,727.85,80.82,UK
UK.FAN,140.93,252.77,79.36,UK
UK.VTY,753.23,1332.78,76.94,UK
UK.AJB,237.3,417.01,75.73,UK
UK.ICP,866.95,1523,75.67,UK
UK.OXIG,869.33,1524.48,75.36,UK
UK.DPLM,1147.74,1986.42,73.07,UK
UK.NXT,4002.82,6922.5,72.94,UK
UK.TIFS,144.34,249.1,72.58,UK
UK.ULE,1154.3,1972.82,70.91,UK
UK.BDEV,419.41,708.53,68.93,UK
UK.GEN,311.71,523.69,68.01,UK
UK.SVS,660.5,1092.93,65.47,UK
UK.SRP,95.7,158.11,65.21,UK
UK.AVST,263.81,434.46,64.69,UK
UK.SAFE,475.44,770.04,61.96,UK
UK.UTG,747.43,1204.64,61.17,UK
UK.MGNS,943.4,1519.78,61.1,UK
UK.IBST,186.61,299.23,60.35,UK
UK.THRG,418.1,669.54,60.14,UK
UK.DSCV,354.88,562.69,58.56,UK
UK.TW,107.57,169.84,57.89,UK
UK.CSP,288.45,455.2,57.81,UK
UK.OCDO,810.6,1279,57.78,UK
UK.HWDN,414.26,653.39,57.72,UK
UK.HLMA,1327.62,2092.62,57.62,UK
UK.TPK,905.35,1419.03,56.74,UK
UK.BWY,2370.66,3706.31,56.34,UK
UK.CCR,261.85,406.5,55.24,UK
UK.CKN,1813.57,2815.22,55.23,UK
UK.SRE,53.92,83.66,55.16,UK
UK.PSN,1415.15,2189.49,54.72,UK
UK.GRI,195.16,301.87,54.68,UK
UK.SGRO,541.15,835.52,54.4,UK
UK.WKP,720.28,1109.4,54.02,UK
UK.MRC,161.35,248.13,53.78,UK
UK.ESNT,32.94,50.57,53.52,UK
UK.AGR,47.94,73.53,53.38,UK
UK.GNC,172.31,264.15,53.3,UK
UK.SMWH,1674.74,2559.28,52.82,UK
UK.RDW,463.85,708.09,52.65,UK
UK.MRO,153.21,233.76,52.57,UK
UK.PNN,753.35,1146.84,52.23,UK
UK.XPP,1974.35,2990.32,51.46,UK
UK.JDW,1101.83,1663,50.93,UK
UK.CTEC,126.93,190.88,50.38,UK
UK.CRH,1898.72,2854.74,50.35,UK
UK.PHP,99.62,149.47,50.04,UK
UK.CHG,155.63,232.73,49.54,UK
UK.AHT,1588.39,2358.7,48.5,UK
UK.FGP,84.45,125.4,48.49,UK
UK.ASHM,330.76,490.99,48.44,UK
UK.POLY,721.48,1067.3,47.93,UK
UK.IHP,292.19,430.61,47.37,UK
UK.HSV,824.82,1213.75,47.15,UK
UK.BME,233.01,342.63,47.05,UK
UK.JUP,248.99,366.15,47.05,UK
UK.SSE,879.34,1289.3,46.62,UK
