ticker,company_name,industry,Index
US.A,Agilent Technologies,Health Care,US
US.AAL,American Airlines Group,Industrials,US
US.AAP,Advance Auto Parts,Consumer Discretionary,US
US.AAPL,Apple,Information Technology,US
US.ABBV,AbbVie,Health Care,US
US.ABC,AmerisourceBergen,Health Care,US
US.ABMD,Abiomed,Health Care,US
US.ABT,Abbott Laboratories,Health Care,US
US.ACN,Accenture,Information Technology,US
US.ADBE,Adobe,Information Technology,US
US.ADI,Analog Devices,Information Technology,US
US.ADM,ADM,Consumer Staples,US
US.ADP,Automatic Data Processing,Information Technology,US
US.ADSK,Autodesk,Information Technology,US
US.AEE,Ameren Corp,Utilities,US
US.AEP,American Electric Power,Utilities,US
US.AES,AES Corp,Utilities,US
US.AFL,Aflac,Financials,US
US.AIG,American International Group,Financials,US
US.AIZ,Assurant,Financials,US
US.AJG,Arthur J. Gallagher & Co.,Financials,US
US.AKAM,Akamai Technologies,Information Technology,US
US.ALB,Albemarle Corporation,Materials,US
US.ALGN,Align Technology,Health Care,US
US.ALK,Alaska Air Group,Industrials,US
US.ALL,Allstate Corp,Financials,US
US.ALLE,Allegion,Industrials,US
US.ALXN,Alexion Pharmaceuticals Inc,Health Care,US
US.AMAT,Applied Materials,Information Technology,US
US.AMCR,Amcor,Materials,US
US.AMD,Advanced Micro Devices,Information Technology,US
US.AME,Ametek,Industrials,US
US.AMGN,Amgen,Health Care,US
US.AMP,Ameriprise Financial,Financials,US
US.AMT,American Tower,Real Estate,US
US.AMZN,Amazon,Consumer Discretionary,US
US.ANET,Arista Networks,Information Technology,US
US.ANSS,Ansys,Information Technology,US
US.ANTM,Anthem,Health Care,US
US.AON,Aon,Financials,US
US.AOS,A. O. Smith,Industrials,US
US.APA,APA Corporation,Energy,US
US.APD,Air Products & Chemicals,Materials,US
US.APH,Amphenol Corp,Information Technology,US
US.APTV,Aptiv,Consumer Discretionary,US
US.ARE,Alexandria Real Estate Equities,Real Estate,US
US.ATO,Atmos Energy,Utilities,US
US.ATVI,Activision Blizzard,Communication Services,US
US.AVB,AvalonBay Communities,Real Estate,US
US.AVGO,Broadcom,Information Technology,US
US.AVY,Avery Dennison,Materials,US
US.AWK,American Water Works,Utilities,US
US.AXP,American Express,Financials,US
US.AZO,AutoZone,Consumer Discretionary,US
US.BA,Boeing Company,Industrials,US
US.BAC,Bank of America,Financials,US
US.BAX,Baxter International,Health Care,US
US.BBY,Best Buy,Consumer Discretionary,US
US.BDX,Becton Dickinson,Health Care,US
US.BEN,Franklin Resources,Financials,US
US.BIIB,Biogen,Health Care,US
US.BIO,Bio-Rad Laboratories,Health Care,US
US.BK,BNY Mellon,Financials,US
US.BKNG,Booking Holdings,Consumer Discretionary,US
US.BKR,Baker Hughes,Energy,US
US.BLK,BlackRock,Financials,US
US.BLL,Ball Corp,Materials,US
US.BMY,Bristol-Myers Squibb,Health Care,US
US.BR,Broadridge Financial Solutions,Information Technology,US
US.BSX,Boston Scientific,Health Care,US
US.BWA,BorgWarner,Consumer Discretionary,US
US.BXP,Boston Properties,Real Estate,US
US.C,Citigroup,Financials,US
US.CAG,Conagra Brands,Consumer Staples,US
US.CAH,Cardinal Health,Health Care,US
US.CARR,Carrier Global,Industrials,US
US.CAT,Caterpillar,Industrials,US
US.CB,Chubb,Financials,US
US.CBOE,Cboe Global Markets,Financials,US
US.CBRE,CBRE,Real Estate,US
US.CCI,Crown Castle,Real Estate,US
