ticker,start_price,end_price,percentage_rise,index_ID
US.ENPH,4.92,26.13,431.1,US
US.AMD,18.83,45.86,143.55,US
US.PAYC,119.7,264.76,121.19,US
US.TER,31.3,67.74,116.42,US
US.LRCX,132.61,286.38,115.96,US
US.KLAC,86.38,173.45,100.8,US
US.TGT,62.47,124.39,99.12,US
US.GNRC,50.99,100.59,97.27,US
US.LDOS,50.11,95.83,91.24,US
US.CPRT,47.68,90.94,90.73,US
US.QRVO,61.18,116.23,89.98,US
US.DXCM,115.18,218.74,89.91,US
US.CMG,443.36,837.11,88.81,US
US.AAPL,38.38,72.44,88.74,US
US.AMAT,32.32,60.01,85.67,US
US.TDG,303.31,560,84.63,US
US.MKTX,205.86,375.64,82.47,US
US.CDW,76.91,140.33,82.46,US
US.CTLT,30.91,56.3,82.14,US
US.SWKS,65.03,118.07,81.56,US
US.ANSS,143.01,257.41,79.99,US
US.GPN,101.26,181.42,79.16,US
US.MSCI,143.29,254.75,77.79,US
US.IR,21,36.68,74.67,US
US.TSN,50.34,87.62,74.06,US
US.NVDA,33.85,58.69,73.38,US
US.FBHS,37.16,64.14,72.6,US
US.NXPI,72.76,124.87,71.62,US
US.WDC,36.31,62.16,71.19,US
US.MCO,137.48,234.1,70.28,US
US.EQIX,334.03,568.17,70.1,US
US.BBY,50.13,84.45,68.46,US
US.CHTR,287.99,485.08,68.44,US
US.TDY,205.79,346.54,68.39,US
US.KEYS,61.42,102.63,67.1,US
US.HWM,18.43,30.73,66.74,US
US.CAG,19.64,32.55,65.73,US
US.SNPS,84.05,139.2,65.62,US
US.DOV,68.07,112.38,65.09,US
US.MLM,167.17,275.95,65.07,US
US.TYL,182.24,300.02,64.63,US
US.MAS,28.54,46.96,64.54,US
US.MU,32.75,53.78,64.21,US
US.ZBRA,156.24,255.44,63.49,US
US.SPGI,166.07,269.62,62.35,US
US.BIO,228.08,370.03,62.24,US
US.CTAS,163.04,264.48,62.22,US
US.WU,15.58,25.25,62.07,US
US.KSU,93.82,151.02,60.97,US
US.HES,40.35,64.88,60.79,US
US.PLD,53.52,85.89,60.48,US
US.CDNS,43.23,69.36,60.44,US
US.GRMN,58.81,94.18,60.14,US
US.FISV,72.21,115.63,60.13,US
US.STX,34.68,55.52,60.09,US
US.QCOM,53.44,85.18,59.39,US
US.INFO,46.72,74.24,58.9,US
US.CPB,29.55,46.9,58.71,US
US.AMP,100.95,160.02,58.51,US
US.NOW,178.32,282.32,58.32,US
US.MSFT,97.96,155.03,58.26,US
US.MA,187,295.91,58.24,US
US.EL,129.27,204.39,58.11,US
US.URI,105.62,166.77,57.9,US
US.ZTS,83.11,131.03,57.66,US
US.HLT,70.37,110.74,57.37,US
US.NVR,2420.82,3808.41,57.32,US
US.CZR,37.95,59.64,57.15,US
US.APTV,60.35,94.73,56.97,US
US.WST,95.47,149.63,56.73,US
US.EW,49.75,77.76,56.3,US
US.FMC,62.15,97.12,56.27,US
US.MPWR,112.85,175.91,55.88,US
US.ALLE,78.79,122.34,55.27,US
US.FLT,185.55,287.72,55.06,US
US.J,57.2,88.62,54.93,US
US.ODFL,81.5,125.87,54.44,US
US.C,48.9,75.06,53.5,US
US.CBRE,39.93,61.29,53.49,US
US.DHR,99.43,152.58,53.45,US
US.FTNT,69.68,106.76,53.21,US
US.EFX,90.65,138.2,52.45,US
US.SO,38.86,59.2,52.34,US
US.SYF,22.47,34.2,52.2,US
US.VFC,63.21,95.88,51.68,US
US.ACN,135.38,205.32,51.66,US
US.DHI,34.15,51.78,51.63,US
US.FB,135.68,205.25,51.28,US
US.LHX,127.53,192.44,50.9,US
US.LMT,248.02,374.21,50.88,US
US.LKQ,23.7,35.7,50.63,US
US.KIM,12.9,19.41,50.47,US
US.APD,151.24,227.54,50.45,US
US.XRAY,37.15,55.87,50.39,US
US.SBAC,158.58,238.43,50.35,US
US.SHW,127.6,191.61,50.16,US
US.PHM,25.42,38.11,49.92,US
US.TFX,249.67,373.99,49.79,US
US.AMT,149.64,223.32,49.24,US
US.MCHP,68.64,102.42,49.21,US
US.ARE,104.25,155.37,49.04,US
US.VMC,95.01,141.53,48.96,US
US.AME,66.34,98.67,48.73,US
US.AIZ,85.54,127.18,48.68,US
US.TMO,218.07,323.72,48.45,US
